city,park,number of days,number of calls
Athens,National Garden,4,85
Athens,Oluf Palme Playground,3,220
Athens,Gendarmerie School Park,3,217
Athens,Alsos Ilision,3,15
Athens,Thissio Park,1,8
Athens,Evangelismos Park,1,3
Barcelona,Parc Grande de Sant Marti,1,8
Barcelona,Jardins del Turo del Putxet,1,27
Barcelona,Jardin de la Maternitat,1,8
Barcelona,Parc de la Ciutadella,2,8
Barcelona,Jardins de Ghandi,1,6
Barcelona,Jardins de Josep Trueta,1,2
Bergamo,Faunistic Park Le Cornelle,2,82
Brussels,Parc de Forest,4,387
Brussels,Ten Reuken,2,48
Brussels,Tenenbosch Park,1,22
Brussels,Place Guy D'Arezzo,2,27
Brussels,Avenue Louise,1,4
Legnago,Legnago,2,134
Madrid,Parque de Berlin,3,105
Madrid,Lago Casa del Campo,2,172
Madrid,Parque Azorin,2,83
Madrid,Parque Emperatriz Maria de Austria,1,49
Madrid,Parque Alfredo Kraus,1,21
Madrid,Parque Infantil Portalegre,2,14
Madrid,Quintos de Molinos,1,9
Madrid,Parque de el Ritero,1,7
Pavia,Oasi di Sant' Alessio,1,81
Verona,Parco Natura Viva,1,20
